,종목코드,종목명
0,A006840,AK홀딩스
1,A027410,BGF
2,A282330,BGF리테일
3,A138930,BNK금융지주
4,A001040,CJ
5,A079160,CJ CGV
6,A000120,CJ대한통운
7,A097950,CJ제일제당
8,A005830,DB손해보험
9,A000990,DB하이텍
10,A114090,GKL
11,A078930,GS
12,A006360,GS건설
13,A007070,GS리테일
14,A012630,HDC
15,A294870,HDC현대산업개발
16,A001060,JW중외제약
17,A096760,JW홀딩스
18,A105560,KB금융
19,A002380,KCC
20,A030200,KT
21,A033780,KT&G
22,A093050,LF
23,A003550,LG
24,A034220,LG디스플레이
25,A001120,LG상사
26,A051900,LG생활건강
27,A032640,LG유플러스
28,A011070,LG이노텍
29,A066570,LG전자
30,A108670,LG하우시스
31,A051910,LG화학
32,A079550,LIG넥스원
33,A006260,LS
34,A010120,LS산전
35,A035420,NAVER
36,A005940,NH투자증권
37,A010060,OCI
38,A005490,POSCO
39,A064960,S&T모티브
40,A010950,S-Oil
41,A034730,SK
42,A011790,SKC
43,A001740,SK네트웍스
44,A006120,SK디스커버리
45,A096770,SK이노베이션
46,A285130,SK케미칼
47,A017670,SK텔레콤
48,A000660,SK하이닉스
49,A005610,SPC삼립
50,A035250,강원랜드
51,A010130,고려아연
52,A002240,고려제강
53,A011780,금호석유
54,A073240,금호타이어
55,A000270,기아차
56,A024110,기업은행
57,A003920,남양유업
58,A025860,남해화학
59,A002350,넥센타이어
60,A251270,넷마블
61,A006280,녹십자
62,A005250,녹십자홀딩스
63,A004370,농심
64,A019680,대교
65,A008060,대덕전자
66,A000210,대림산업
67,A001680,대상
68,A047040,대우건설
69,A042660,대우조선해양
70,A069620,대웅제약
71,A006650,대한유화
72,A003490,대한항공
73,A001230,동국제강
74,A026960,동서
75,A000640,동아쏘시오홀딩스
76,A170900,동아에스티
77,A001520,동양
78,A049770,동원F&B
79,A014820,동원시스템즈
80,A000150,두산
81,A241560,두산밥캣
82,A042670,두산인프라코어
83,A034020,두산중공업
84,A115390,락앤락
85,A023530,롯데쇼핑
86,A004000,롯데정밀화학
87,A004990,롯데지주
88,A005300,롯데칠성
89,A011170,롯데케미칼
90,A002270,롯데푸드
91,A071840,롯데하이마트
92,A204320,만도
93,A008560,메리츠종금증권
94,A006800,미래에셋대우
95,A003850,보령제약
96,A003000,부광약품
97,A005180,빙그레
98,A006400,삼성SDI
99,A028260,삼성물산
100,A207940,삼성바이오로직스
101,A032830,삼성생명
102,A018260,삼성에스디에스
103,A028050,삼성엔지니어링
104,A009150,삼성전기
105,A005930,삼성전자
106,A010140,삼성중공업
107,A016360,삼성증권
108,A029780,삼성카드
109,A000810,삼성화재
110,A145990,삼양사
111,A000070,삼양홀딩스
112,A004490,세방전지
113,A001430,세아베스틸
114,A068270,셀트리온
115,A004170,신세계
116,A031430,신세계인터내셔날
117,A055550,신한지주
118,A003410,쌍용양회
119,A003620,쌍용차
120,A002790,아모레G
121,A090430,아모레퍼시픽
122,A010780,아이에스동서
123,A018250,애경산업
124,A005850,에스엘
125,A012750,에스원
126,A036570,엔씨소프트
127,A111770,영원무역
128,A003520,영진약품
129,A000670,영풍
130,A007310,오뚜기
131,A271560,오리온
132,A001800,오리온홀딩스
133,A316140,우리금융지주
134,A021240,웅진코웨이
135,A014830,유니드
136,A000100,유한양행
137,A214320,이노션
138,A139480,이마트
139,A007570,일양약품
140,A020150,일진머티리얼즈
141,A030000,제일기획
142,A185750,종근당
143,A035720,카카오
144,A192820,코스맥스
145,A120110,코오롱인더
146,A192400,쿠쿠홀딩스
147,A003240,태광산업
148,A028670,팬오션
149,A047050,포스코인터내셔널
150,A103140,풍산
151,A086790,하나금융지주
152,A000080,하이트진로
153,A036460,한국가스공사
154,A071050,한국금융지주
155,A025540,한국단자
156,A002960,한국쉘석유
157,A015760,한국전력
158,A009540,한국조선해양
159,A161890,한국콜마
160,A161390,한국타이어앤테크놀로지
161,A000240,한국테크놀로지그룹
162,A047810,한국항공우주
163,A060980,한라홀딩스
164,A008930,한미사이언스
165,A128940,한미약품
166,A009240,한샘
167,A020000,한섬
168,A105630,한세실업
169,A014680,한솔케미칼
170,A018880,한온시스템
171,A009420,한올바이오파마
172,A006390,한일현대시멘트
173,A051600,한전KPS
174,A052690,한전기술
175,A000880,한화
176,A088350,한화생명
177,A012450,한화에어로스페이스
178,A009830,한화케미칼
179,A000720,현대건설
180,A005440,현대그린푸드
181,A086280,현대글로비스
182,A064350,현대로템
183,A079430,현대리바트
184,A012330,현대모비스
185,A010620,현대미포조선
186,A069960,현대백화점
187,A017800,현대엘리베이
188,A011210,현대위아
189,A004020,현대제철
190,A267250,현대중공업지주
191,A005380,현대차
192,A001450,현대해상
193,A057050,현대홈쇼핑
194,A008770,호텔신라
195,A004800,효성
196,A298040,효성중공업
197,A093370,후성
198,A081660,휠라코리아
199,A069260,휴켐스
